page_url,link_text,pdf_url
https://www.pucnotes-solutions.com/2nd-puc-computer-science,Midterm Paper 1,https://drive.google.com/file/d/1gfgKMfdOqdEWjOpA0oVUfP9LRyea0JiD/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-01,https://drive.google.com/file/d/1jQ5dJjsMgkOwZk46eSHoxPx-onR62S-1/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-02,https://drive.google.com/file/d/1jiAzCEJ-6tAZg7AO_0rTgIRiukqqCdSw/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-03,https://drive.google.com/file/d/1jj1yDLLv8VhrGrPN4UZvi908_5nItrLW/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-04,https://drive.google.com/file/d/1jjVDACxHg5esahJYKugu9CYsgK4WE12-/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-05,https://drive.google.com/file/d/1k83c0aTXL8pohy7V4xXlp63S7nPd8-8a/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-06,https://drive.google.com/file/d/1juFn7OC5kMrdSvtN83JCqrrg5d99pDZv/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-07,https://drive.google.com/file/d/1k--vcjcehp-HUt4fhWTP8ylUlsGNltCt/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-08,https://drive.google.com/file/d/1k1JpdMGCoZo_Ap2txuMDEZa_X-Dq17AD/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-09,https://drive.google.com/file/d/1k7EUa6ldSW1j1ubvdXkSJRxlglChhtoc/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-10,https://drive.google.com/file/d/1jTK2TpaTMjowRBlV5M4i6BfMH7sB5qNG/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-11,https://drive.google.com/file/d/1jUzeAkai_jpYYDHXoKmSK0XcWdBAF9g9/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-12,https://drive.google.com/file/d/1jVfEcYvC6ZnXyB5Ei1FlUHl_iUUYt8Qf/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-13,https://drive.google.com/file/d/1jYpknI07DDFwAhlMD6GLUQTmTa23qnDy/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-14,https://drive.google.com/file/d/1jZAlTn7nkqkIthleGIBz2bsofG2swLXr/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-15,https://drive.google.com/file/d/1j_SEtUR3vTzG4B5WepbyDPhdHapDYK7I/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-16,https://drive.google.com/file/d/1jfT9IfCOVYVHM3jFbWvzitupZY_VUWaS/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-computer-science,Chapter-17,https://drive.google.com/file/d/1jga8qIYFEEP_zuDkf671UJ6VZcWP1pkx/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-01,https://drive.google.com/file/d/1S8Xs4GfbmXdI29x4YGcKO-g5c1RLlwBx/view?usp=sharing
